motif_id,motif,mage_prob_importance,label_0_score,label_1_score
211,*C1C(O)C(O)C(N=C(N)N)C(O)C1N=C(N)N,0.48969724774360657,1.9671890640893253e-06,0.0006082680192776024
212,*c1noc(C)c1*,0.8376952409744263,0.0004281404544599354,0.0034563769586384296
213,*CCC(*)C,0.8385485410690308,0.0,0.0
214,*N1CC(=O)NC(=O)C1,0.561756432056427,6.954242053325288e-06,0.0015862924046814442
215,*c1ccc(C)nc1,0.8138470649719238,0.0,0.0
216,*C1CC(O)C(*)C(C)O1,0.7747697830200195,8.280503971036524e-05,0.0005885895225219429
217,*c1ncc(*)c(=O)[nH]1,0.7090250253677368,8.464124221063685e-06,0.0004912764998152852
218,*SCC(C=C)=C(*)*,0.8972752094268799,1.3890340596844908e-05,0.007304338272660971
219,*C(*)C(*)(C)C(*)C(*)C(*)(O)C(*)(*)C,0.9547748565673828,0.0001526211854070425,0.0011612463276833296
220,*C1=CC(=O)OC1,0.5768129229545593,0.0001233338116435334,0.0009384079603478312
-1,UNK,0.0,0,0,0
